UTME    UTMN    DICT
295     2766    3101
293     2767    3101
295     2765    3101
296     2770    3101
298     2770    3102
299     2775    3102
297     2774    3102
299     2772    3102
297     2772    3102
296     2772    3102
298     2772    3102
298     2774    3102
298     2771    3102
296     2771    3102
297     2770    3102
299     2771    3102
297     2773    3102
296     2773    3102
299     2773    3102
297     2771    3102
298     2775    3102
298     2773    3102
299     2774    3102
301     2767    3103
302     2766    3103
301     2766    3103
300     2767    3103
302     2765    3103
298     2762    3104
296     2765    3104
297     2766    3104
298     2766    3104
300     2766    3104
296     2766    3104
298     2764    3104
298     2765    3104
300     2765    3104
297     2764    3104
300     2763    3104
300     2764    3104
301     2765    3104
297     2765    3104
298     2763    3104
299     2763    3104
299     2765    3104
299     2766    3104
299     2764    3104
293     2768    3105
294     2769    3105
292     2767    3105
293     2769    3105
292     2769    3105
291     2768    3105
292     2768    3105
295     2772    3105
295     2771    3105
294     2771    3105
295     2770    3105
293     2770    3105
295     2773    3105
294     2770    3105
294     2772    3105
306     2753    3106
299     2752    3106
305     2754    3106
298     2752    3106
304     2754    3106
301     2753    3106
300     2752    3106
307     2754    3106
300     2753    3106
298     2754    3106
299     2754    3106
302     2753    3106
299     2753    3106
298     2753    3106
302     2754    3106
297     2753    3106
300     2754    3106
298     2751    3106
303     2754    3106
301     2754    3106
297     2751    3106
297     2752    3106
301     2758    3106
304     2760    3106
298     2757    3106
300     2760    3106
305     2758    3106
297     2761    3106
301     2757    3106
308     2760    3106
305     2761    3106
296     2758    3106
300     2758    3106
303     2759    3106
305     2760    3106
309     2759    3106
308     2761    3106
302     2756    3106
297     2760    3106
301     2762    3106
300     2755    3106
305     2757    3106
306     2761    3106
306     2757    3106
300     2761    3106
306     2760    3106
299     2757    3106
302     2757    3106
300     2762    3106
308     2758    3106
306     2754    3106
301     2761    3106
295     2759    3106
303     2760    3106
298     2758    3106
300     2756    3106
307     2761    3106
302     2759    3106
299     2758    3106
298     2760    3106
305     2762    3106
306     2758    3106
304     2758    3106
299     2761    3106
299     2759    3106
307     2760    3106
309     2761    3106
308     2757    3106
299     2760    3106
306     2755    3106
308     2759    3106
303     2757    3106
303     2762    3106
307     2758    3106
299     2756    3106
304     2755    3106
303     2761    3106
306     2756    3106
299     2762    3106
301     2755    3106
302     2760    3106
303     2758    3106
309     2760    3106
299     2755    3106
307     2757    3106
304     2757    3106
304     2761    3106
307     2759    3106
300     2759    3106
296     2759    3106
300     2757    3106
302     2761    3106
307     2756    3106
301     2756    3106
297     2758    3106
302     2755    3106
304     2756    3106
301     2760    3106
304     2759    3106
302     2758    3106
304     2762    3106
305     2756    3106
305     2755    3106
308     2756    3106
305     2759    3106
302     2762    3106
297     2759    3106
298     2759    3106
301     2759    3106
306     2759    3106
296     2760    3106
303     2756    3106
298     2761    3106
303     2755    3106
304     2763    3106
302     2763    3106
303     2764    3106
301     2764    3106
302     2764    3106
301     2763    3106
303     2763    3106
291     2762    3107
290     2762    3107
289     2762    3107
290     2761    3107
287     2761    3107
289     2760    3107
288     2762    3107
289     2761    3107
287     2760    3107
287     2762    3107
286     2760    3107
288     2760    3107
290     2760    3107
288     2761    3107
292     2765    3107
291     2767    3107
289     2764    3107
290     2764    3107
292     2766    3107
291     2763    3107
288     2764    3107
291     2764    3107
290     2763    3107
287     2763    3107
288     2763    3107
291     2766    3107
291     2765    3107
289     2763    3107
282     2759    3108
284     2762    3108
286     2761    3108
282     2762    3108
283     2759    3108
282     2761    3108
283     2762    3108
285     2762    3108
285     2761    3108
286     2762    3108
283     2758    3108
285     2760    3108
284     2761    3108
282     2758    3108
282     2760    3108
283     2760    3108
284     2759    3108
284     2760    3108
283     2761    3108
283     2763    3108
282     2763    3108
284     2763    3108
287     2741    3109
296     2745    3109
292     2746    3109
293     2746    3109
297     2746    3109
293     2744    3109
294     2744    3109
295     2745    3109
286     2741    3109
293     2745    3109
294     2746    3109
295     2744    3109
294     2745    3109
295     2746    3109
289     2741    3109
294     2743    3109
290     2741    3109
285     2741    3109
288     2741    3109
292     2752    3109
288     2750    3109
286     2749    3109
294     2750    3109
290     2752    3109
292     2751    3109
292     2753    3109
286     2748    3109
296     2750    3109
287     2753    3109
296     2754    3109
289     2753    3109
291     2748    3109
296     2752    3109
290     2749    3109
283     2754    3109
285     2754    3109
284     2751    3109
284     2753    3109
297     2750    3109
289     2754    3109
288     2748    3109
295     2751    3109
295     2753    3109
282     2754    3109
285     2753    3109
285     2750    3109
293     2747    3109
295     2754    3109
287     2749    3109
297     2749    3109
290     2753    3109
292     2750    3109
294     2747    3109
292     2749    3109
297     2747    3109
292     2748    3109
286     2753    3109
294     2752    3109
295     2752    3109
293     2752    3109
294     2751    3109
285     2752    3109
296     2749    3109
294     2753    3109
291     2749    3109
288     2752    3109
287     2754    3109
295     2749    3109
296     2747    3109
293     2751    3109
296     2753    3109
285     2749    3109
286     2752    3109
295     2750    3109
297     2748    3109
293     2748    3109
294     2748    3109
295     2748    3109
291     2753    3109
289     2752    3109
284     2750    3109
290     2748    3109
291     2750    3109
289     2751    3109
287     2750    3109
289     2750    3109
284     2754    3109
293     2750    3109
285     2748    3109
288     2749    3109
293     2754    3109
290     2750    3109
296     2751    3109
291     2751    3109
292     2747    3109
286     2750    3109
298     2748    3109
287     2748    3109
288     2754    3109
290     2754    3109
288     2753    3109
293     2749    3109
295     2747    3109
288     2751    3109
290     2751    3109
298     2749    3109
296     2746    3109
287     2751    3109
287     2752    3109
291     2752    3109
291     2754    3109
297     2754    3109
286     2751    3109
291     2747    3109
286     2754    3109
289     2749    3109
292     2754    3109
285     2751    3109
289     2748    3109
294     2754    3109
296     2748    3109
293     2753    3109
294     2749    3109
293     2758    3109
283     2757    3109
289     2758    3109
286     2758    3109
288     2758    3109
294     2759    3109
287     2755    3109
290     2759    3109
286     2759    3109
285     2759    3109
292     2756    3109
291     2755    3109
294     2758    3109
290     2755    3109
283     2755    3109
296     2756    3109
291     2758    3109
289     2756    3109
287     2756    3109
293     2757    3109
285     2757    3109
293     2756    3109
286     2757    3109
287     2758    3109
295     2758    3109
292     2758    3109
297     2756    3109
290     2758    3109
283     2756    3109
295     2756    3109
285     2758    3109
298     2756    3109
284     2757    3109
290     2756    3109
288     2757    3109
288     2756    3109
290     2757    3109
294     2756    3109
288     2755    3109
287     2757    3109
286     2756    3109
285     2756    3109
282     2757    3109
296     2755    3109
282     2756    3109
291     2756    3109
291     2757    3109
294     2757    3109
298     2755    3109
297     2757    3109
287     2759    3109
293     2755    3109
297     2755    3109
289     2755    3109
284     2756    3109
294     2755    3109
286     2755    3109
285     2755    3109
282     2755    3109
296     2757    3109
295     2757    3109
284     2755    3109
292     2757    3109
284     2758    3109
289     2757    3109
289     2759    3109
288     2759    3109
292     2755    3109
295     2755    3109
297     2788    3110
291     2785    3110
295     2788    3110
292     2786    3110
293     2786    3110
295     2786    3110
294     2784    3110
293     2788    3110
297     2786    3110
296     2786    3110
294     2792    3110
293     2784    3110
295     2784    3110
296     2784    3110
298     2791    3110
294     2785    3110
296     2791    3110
295     2791    3110
294     2791    3110
293     2791    3110
